type,title,cover,author,authorImg,authorWork,authorWords,authorDays,monthRead,monthFlower,allRead,allFlower,wordNum,updateTicket,reward,monthTicker,shareNum,rate,startTime,updateTime,detailLink
玄幻奇幻,基金会：开局成为Nobody,http://img.faloo.com/novel/images/cover/498x705.jpg,Sure号召员,http://photo.faloo.com/160x120/0/875/875113.jpg,3,190000,81,149609,741,313481,536,64726,0,200.0,0,0,10,2024-11-19,2024-12-07,https://b.faloo.com/1453847.html
玄幻奇幻,洪荒：我鸿钧专业捉系统,http://img.faloo.com/Novel/498x705/1/1551/001551860.jpg,洪荒系统哥,//photo.faloo.com/default.jpg,1,160000,18,150303,1074,365124,568,149162,0,0.0,0,0,0,2024-11-21,2024-12-07,https://b.faloo.com/1454105.html
玄幻奇幻,洪荒：我，通天教主，加入聊天群,http://img.faloo.com/Novel/498x705/1/1055/001055796.jpg,哈哈哈哈叠,//photo.faloo.com/default.jpg,4,5020000,458,151066,2028,10022558,16989,2080107,0,10000.0,0,1,9.3,2023-09-11,2024-12-07,https://b.faloo.com/1355533.html
玄幻奇幻,秘墓寻踪：明星探险团绝境求生,http://img.faloo.com/Novel/498x705/1/1551/001551265.jpg,笔海游,http://photo.faloo.com/160x120/0/901/901021.jpg,1,160000,21,149115,981,471073,172,162187,0,0.0,0,0,0,2024-11-16,2024-12-07,https://b.faloo.com/1453306.html
玄幻奇幻,玄幻：开局扮演哪吒三太子！,http://img.faloo.com/Novel/498x705/0/559/000559949.jpg,流浪阿飘,//photo.faloo.com/default.jpg,4,8680000,1564,148778,2034,26426686,318714,8663915,400,35000.0,0,0,9.9,2020-11-09,2024-12-07,https://b.faloo.com/850072.html
玄幻奇幻,转生签到二十年，反派竟是我自己,http://img.faloo.com/Novel/498x705/0/608/000608810.jpg,我儿凯,//photo.faloo.com/default.jpg,2,3870000,1404,151045,2029,15645026,52504,2584214,10,585000.0,0,0,9.9,2021-02-03,2024-12-07,https://b.faloo.com/902061.html
玄幻奇幻,西游：开局猴子看了我的小说,http://img.faloo.com/Novel/498x705/0/662/000662581.jpg,天榜诛神,//photo.faloo.com/default.jpg,3,12130000,1428,149859,2028,16392948,432506,4300250,227,767000.0,0,2,10,2021-02-14,2024-12-07,https://b.faloo.com/906114.html
玄幻奇幻,天命御兽，我苟道成圣,http://img.faloo.com/Novel/498x705/1/1542/001542621.jpg,坑里来的猴,//photo.faloo.com/default.jpg,1,160000,85,149872,2082,1830040,1384,157638,0,0.0,0,20,10,2024-09-13,2024-12-02,https://b.faloo.com/1442424.html
玄幻奇幻,无上战尊,http://img.faloo.com/Novel/498x705/1/1541/001541282.jpg,七剑下天山,http://photo.faloo.com/160x120/0/899/899193.jpg,1,110000,697,149864,2078,1565522,2695,114652,0,0.0,0,0,10,2024-09-29,2024-12-07,https://b.faloo.com/1445026.html
玄幻奇幻,洪荒：这个截教民风淳朴！,http://img.faloo.com/Novel/498x705/0/621/000621643.jpg,买车号,//photo.faloo.com/default.jpg,3,8970000,1879,150815,2028,12619689,37159,3241312,3,785000.0,0,0,10,2021-03-06,2024-12-08,https://b.faloo.com/916520.html
玄幻奇幻,洪荒：萧升人间清醒，弑杀燃灯！,http://img.faloo.com/Novel/498x705/1/1104/001104756.jpg,孤单心思,//photo.faloo.com/default.jpg,3,7080000,282,149937,2032,6343848,22115,2388656,0,100.0,0,0,9.8,2024-03-10,2024-12-07,https://b.faloo.com/1399100.html
玄幻奇幻,天灾？别闹！我们是正道的光,http://img.faloo.com/Novel/498x705/1/1549/001549260.jpg,怀安先生,http://photo.faloo.com/160x120/0/900/900246.jpg,1,210000,331,147197,1557,662287,2497,209833,2,20000.0,2,0,0,2024-11-08,2024-12-07,https://b.faloo.com/1451750.html
